84.0,-176.0,-63.0
101.0,217.0,197.0
38.0,58.0,-109.0
141.0,-235.0,-73.0
192.0,-189.0,19.0
13.0,13.0,129.0
-116.0,-12.0,-140.0
102.0,209.0,-226.0
194.0,-197.0,-16.0
-29.0,-137.0,29.0
-13.0,-71.0,162.0
-55.0,209.0,86.0
169.0,126.0,219.0
243.0,139.0,63.0
188.0,-240.0,75.0
63.0,9.0,126.0
46.0,16.0,-194.0
178.0,-132.0,54.0
-53.0,-65.0,195.0
-91.0,201.0,-203.0
43.0,222.0,170.0
-51.0,-230.0,-225.0
214.0,-178.0,224.0
1.0,-40.0,-120.0
92.0,206.0,68.0
-89.0,131.0,188.0
-104.0,-60.0,-44.0
122.0,-163.0,103.0
-7.0,-138.0,-38.0
-73.0,-242.0,226.0
-182.0,149.0,246.0
107.0,-96.0,-127.0
248.0,-171.0,-243.0
107.0,233.0,214.0
-7.0,105.0,-61.0
-228.0,-41.0,94.0
-182.0,-77.0,-207.0
88.0,100.0,-60.0
175.0,207.0,-23.0
167.0,-59.0,134.0
245.0,91.0,-224.0
65.0,-59.0,-212.0
-107.0,-40.0,187.0
133.0,124.0,-70.0
-133.0,-187.0,48.0
226.0,31.0,-155.0
168.0,240.0,-183.0
-18.0,133.0,-24.0
-121.0,157.0,-233.0
-240.0,2.0,22.0
228.0,-44.0,120.0
65.0,-135.0,-114.0
-159.0,-68.0,-202.0
-2.0,-126.0,68.0
151.0,-127.0,-154.0
-28.0,143.0,95.0
14.0,129.0,-6.0
11.0,207.0,9.0
186.0,-73.0,183.0
111.0,-16.0,-69.0
190.0,-74.0,94.0
-59.0,-138.0,-72.0
96.0,-146.0,127.0
-59.0,-221.0,113.0
-197.0,245.0,69.0
171.0,-221.0,-112.0
-86.0,-206.0,77.0
14.0,-195.0,-210.0
-200.0,-218.0,194.0
-41.0,30.0,-111.0
193.0,157.0,-168.0
-99.0,191.0,-153.0
121.0,140.0,40.0
-191.0,-45.0,1.0
-222.0,-171.0,-2.0
144.0,-132.0,199.0
-163.0,-137.0,243.0
-100.0,88.0,240.0
190.0,-103.0,-118.0
-88.0,-136.0,-53.0
139.0,-173.0,-30.0
48.0,78.0,-115.0
-76.0,-86.0,-118.0
12.0,-138.0,238.0
-6.0,237.0,-208.0
146.0,-95.0,-207.0
-78.0,117.0,33.0
-186.0,-59.0,68.0
-155.0,-108.0,-53.0
-209.0,113.0,-222.0
-24.0,-79.0,199.0
170.0,208.0,92.0
-141.0,181.0,0.0
76.0,-118.0,-158.0
-184.0,-65.0,-250.0
246.0,-129.0,-128.0
98.0,207.0,135.0
-64.0,-161.0,-30.0
223.0,187.0,214.0
-13.0,144.0,-13.0
